,國文,英文,數學,社會,自然
0,14,7,14,13,9
1,14,11,15,14,10
2,12,7,12,6,10
3,15,10,13,6,7
4,7,11,8,13,14
5,10,7,13,12,7
6,14,10,8,14,7
7,14,7,10,14,11
8,10,11,8,10,8
9,13,6,8,8,7
10,8,9,6,14,7
11,12,13,10,6,15
12,15,8,13,13,10
13,6,10,9,14,12
14,13,13,12,6,10
15,7,8,12,11,13
16,13,10,6,6,11
17,13,13,7,7,10
18,9,11,14,12,7
19,8,13,7,8,10
20,8,12,8,13,9
21,9,8,10,13,12
22,6,14,8,10,15
23,8,6,13,13,15
24,12,14,6,13,11
25,6,9,6,8,7
26,9,13,12,9,14
27,10,6,15,12,14
28,11,11,15,9,7
29,11,6,13,11,7
30,11,14,8,7,11
31,12,15,10,10,15
32,6,8,6,7,13
33,14,9,8,12,6
34,12,14,13,12,13
35,7,8,11,12,12
36,10,12,6,11,14
37,10,8,13,11,15
38,8,9,10,14,7
39,15,11,15,9,15
40,9,8,13,12,11
41,13,9,15,9,7
42,12,10,15,12,15
43,8,9,15,8,8
44,14,10,12,6,15
45,9,6,7,6,13
46,14,9,12,11,10
47,8,8,10,10,15
48,11,6,7,11,9
49,14,13,11,14,6
50,10,6,10,6,15
51,14,10,14,14,13
52,8,12,9,14,11
53,7,12,14,10,10
54,6,10,10,15,14
55,8,13,13,10,6
56,13,7,9,15,6
57,15,15,13,8,7
58,9,10,9,6,9
59,9,13,7,13,13
60,8,7,15,8,9
61,15,15,6,10,13
62,15,13,6,11,6
63,13,11,6,10,10
64,7,9,12,10,13
65,9,15,11,6,14
66,14,12,9,7,8
67,14,6,11,9,11
68,12,7,7,10,11
69,11,10,6,11,13
70,10,8,15,13,15
71,13,7,9,8,13
72,14,12,15,12,8
73,10,13,8,12,10
74,11,7,12,11,8
75,8,11,6,9,12
76,8,10,13,11,10
77,8,7,11,9,10
78,14,9,11,15,10
79,15,12,6,6,10
80,10,10,11,15,9
81,12,8,9,13,8
82,12,7,6,9,7
83,15,8,10,12,13
84,15,14,9,15,8
85,6,8,9,11,11
86,6,13,9,9,11
87,6,6,12,13,6
88,14,8,6,10,15
89,9,14,13,6,12
90,11,15,15,13,8
91,14,15,10,15,13
92,11,8,12,6,7
93,7,14,15,7,9
94,13,6,6,7,9
95,7,7,14,7,6
96,6,13,13,10,14
97,9,13,15,13,7
98,9,10,8,15,11
99,10,10,12,15,6
