國文,英文,數學,社會,自然
8,6,7,15,9
13,12,8,15,15
12,6,15,13,15
6,6,12,15,7
7,8,13,10,6
9,11,14,8,11
14,9,9,7,9
6,8,12,11,12
13,11,15,10,7
7,12,8,15,14
12,7,8,11,10
14,12,10,8,15
7,12,15,7,9
12,11,15,13,15
10,13,8,7,10
12,13,14,7,11
15,11,7,10,7
8,8,11,12,7
15,9,10,13,8
11,14,15,9,10
13,14,12,7,13
15,7,11,13,6
9,11,8,8,6
10,15,11,15,7
9,8,6,8,6
12,15,12,10,13
12,11,15,8,12
14,6,6,15,10
7,8,7,13,14
6,14,7,6,9
12,8,9,9,11
8,8,12,13,10
10,9,14,6,6
10,8,8,7,9
11,10,10,10,14
9,9,11,10,14
14,9,11,7,10
8,8,11,13,8
11,10,9,10,15
6,9,13,12,10
14,10,12,8,12
14,11,9,11,13
14,10,14,9,8
11,11,14,6,11
11,6,11,8,6
11,6,13,7,15
14,11,13,15,8
13,15,8,7,10
9,10,7,15,12
14,14,10,15,15
7,9,9,13,7
12,7,12,12,9
8,8,11,11,13
14,13,8,9,9
13,8,12,14,11
7,11,7,8,12
6,8,10,9,8
14,13,6,12,7
8,13,8,12,9
7,8,8,15,10
7,13,9,11,12
15,9,15,6,15
9,15,6,8,6
11,10,13,14,10
10,15,8,6,14
13,15,7,8,11
12,10,8,14,12
6,6,15,11,7
8,13,7,7,10
14,8,13,12,8
15,9,8,13,15
14,10,8,14,7
10,13,12,7,9
10,7,14,13,13
15,15,10,8,7
14,14,15,11,13
10,13,9,10,12
10,6,11,15,9
7,11,8,9,12
14,10,15,13,13
13,13,7,10,7
14,10,10,14,11
10,13,13,14,9
12,12,6,12,11
15,13,8,11,7
14,14,6,15,14
13,13,9,7,10
10,9,10,11,6
12,10,13,9,15
12,14,10,11,7
14,8,6,8,10
8,15,12,14,15
13,6,15,14,12
7,6,6,9,14
12,12,12,9,8
8,9,14,7,13
7,8,9,14,6
9,12,6,7,14
10,8,7,10,10
9,8,8,12,11
